"country_name","code","year","v2x_polyarchy","v2cscnsult","total_financement","ffuel","gini_index","ambition"
"Liberia","LBR",2015,0.616,1.286,94.144964,0,NA,"1.2"
"Malawi","MWI",2015,0.533,1.546,56.886136,0.0606119001194796,NA,"1.2"
"Maldives","MDV",2015,0.381,-0.233,20.523628,0,NA,"4.9"
"Mongolia","MNG",2015,0.679,1.212,3.489336,4.08741518704695,NA,"5.1"
"Morocco","MAR",2015,0.266,0.943,52.00061,0.0057509883479093,NA,"2.6"
"Netherlands","NLD",2015,0.879,3.159,NA,0.437595482712569,28.2,"2.9"
"Panama","PAN",2015,0.755,0.347,4.776954,0.00371461934835,50.8,"2.8"
"Papua New Guinea","PNG",2015,0.418,0.687,20.828528,8.51837988515387,NA,"1.2"
"Qatar","QAT",2015,0.043,-0.605,NA,19.0640021627448,NA,"NA"
"Sierra Leone","SLE",2015,0.513,1.416,1.433312,0,NA,"1.2"
"Spain","ESP",2015,0.855,1.557,NA,0.0050268892430379,36.2,"3.4"
"Syria","SYR",2015,0.138,-2.503,NA,NA,NA,NA
"Tunisia","TUN",2015,0.723,2.649,445.031354,1.89964584491144,32.8,"5.1"
"Turkey","TUR",2015,0.378,0.148,NA,NA,NA,"5.1"
"Ukraine","UKR",2015,0.406,2.334,62.262326,1.97763883081288,25.5,"5.1"
"United Kingdom","GBR",2015,0.86,1.76,NA,0.332559925654186,33.3,NA
"Uruguay","URY",2015,0.893,2.026,NA,0.0129991340611707,40.1,"5.1"
"Algeria","DZA",2015,0.326,-0.855,5.783138,14.6519339166324,NA,"4.3"
"Angola","AGO",2015,0.309,-1.79,0.129816,12.7791708696241,NA,"NA"
"Armenia","ARM",2015,0.35,-0.361,0.321838,0,32.4,"5.1"
"Azerbaijan","AZE",2015,0.191,-2.257,NA,14.3563282315921,NA,"3.3"
"Belarus","BLR",2015,0.251,-1.534,38.257338,0.459709564041782,25.6,"5.1"
"Cameroon","CMR",2015,0.326,0.37,8.18681,2.00619093675688,NA,"1.2"
"Chad","TCD",2015,0.281,-1.167,103.348896,6.2969962979888,NA,"1.2"
"China","CHN",2015,0.083,0.337,NA,0.874669697763368,38.6,"5.1"
"Democratic Republic of the Congo","COD",2015,0.322,0.343,342.982158,NA,NA,"1.2"
"Republic of the Congo","COG",2015,0.247,-0.357,NA,NA,NA,NA
"Djibouti","DJI",2015,0.246,0.879,44.852596,0,NA,"1.2"
"Eritrea","ERI",2015,0.07,-1.766,NA,NA,NA,"1.2"
"Gabon","GAB",2015,0.378,1.605,0.049704,10.2461299187153,NA,"2.6"
"The Gambia","GMB",2015,0.24,-2.008,NA,NA,NA,NA
"Georgia","GEO",2015,0.678,1.391,39.675276,0.0503261683511553,36.5,"5.1"
"Guinea-Bissau","GNB",2015,0.507,1.216,21.160158,0,NA,NA
"Jamaica","JAM",2015,0.805,1.444,13.263284,0,NA,"5.1"
"Kazakhstan","KAZ",2015,0.239,-0.5,4.632258,7.99133207296686,26.8,"5.1"
"Kyrgyzstan","KGZ",2015,0.462,1.001,0.064338,NA,NA,"1.2"
"Laos","LAO",2015,0.091,-1.488,NA,NA,NA,NA
"Libya","LBY",2015,0.286,0.258,NA,16.2892553435802,NA,"5.1"
"Madagascar","MDG",2015,0.485,1.259,41.9738,0.0658972998316285,NA,"1.2"
"Moldova","MDA",2015,0.579,1.857,1.365688,0.0137108365196729,27,NA
"Namibia","NAM",2015,0.718,0.726,84.455508,0,59.1,"5.1"
"Rwanda","RWA",2015,0.235,0.997,15.14771,0.0208868684461887,NA,"1.2"
"Somalia","SOM",2015,0.177,0.459,99.040092,0,NA,"1.2"
"Sri Lanka","LKA",2015,0.556,1.643,518.459718,0,NA,"1.7"
"Tajikistan","TJK",2015,0.183,-2.065,0.348152,0.150860999559369,34,"1.6"
"Togo","TGO",2015,0.503,1.265,11.323576,0,43,"1.2"
"Trinidad and Tobago","TTO",2015,0.764,1.43,NA,7.48108765381926,NA,"5.1"
"Turkmenistan","TKM",2015,0.144,-2.11,0.209062,15.4827871650234,NA,"5.1"
"Uzbekistan","UZB",2015,0.166,-1.521,181.655484,4.11902710669473,NA,"5.1"
"Austria","AUT",2015,0.868,3.262,NA,0.0556784429775158,30.5,"3.2"
"Bahrain","BHR",2015,0.137,-1.438,NA,12.6337296244821,NA,"5.1"
"Belgium","BEL",2015,0.896,2.934,NA,0.0157279649794816,27.7,"3.2"
"Bosnia and Herzegovina","BIH",2015,0.557,0.278,17.639316,0.196643861612622,NA,"5.1"
